Interactor 1 Gene symbol,Interactor 1 HPRD id,Interactor 1 RefSeq id,Interactor 2 Gene symbol,Interactor 2 HPRD id,Interactor 2 RefSeq id,"Experiment type (in vivo, in vitro and yeast 2-hybrid)"
ARR3,02358,NP_004303.2,ARR3,02358,NP_004303.2,in vitro;in vivo
AP3B1,04551,NP_003655.3,ARR3,02358,NP_004303.2,in vitro;in vivo
WISP1,16019,NP_003873.1,BGN,02359,NP_001702.1,in vitro
MATN2,03660,NP_002371.3,COL4A5,02363,NP_203699.1,in vitro
HABP2,04890,NP_004123.1,COL4A5,02363,NP_203699.1,in vivo
HCLS1,03199,NP_005326.2,QKI,06691,NP_006766.1,yeast 2-hybrid
MATN2,03660,NP_002371.3,COL4A6,02364,NP_001838.2,in vivo
HABP2,04890,NP_004123.1,COL4A6,02364,NP_001838.2,in vivo
RANBP2,03111,NP_006258.3,OPN1MW,02365,NP_000504.1,in vivo
RANBP2,03111,NP_006258.3,OPN1LW,02366,NP_064445.1,in vivo
TICAM2,16313,NP_067681.1,OPN1LW,02366,NP_064445.1,in vitro
PRKACA,03382,NP_002721.1,GJB1,02367,NP_000157.1,in vitro;in vivo
OCLN,04191,NP_002529.1,GJB1,02367,NP_000157.1,in vitro;in vivo
GJB1,02367,NP_000157.1,CALM1,00241,NP_008819.1,in vivo
GRK5,02926,NP_005299.1,AVPR2,02368,NP_000045.1,in vitro;in vivo
C1QTNF1,12714,AAG44303.1,AVPR2,02368,NP_000045.1,in vitro;yeast 2-hybrid
CASP2,02800,NP_116764.2,ADCYAP1,02369,NP_001108.2,in vitro;in vivo;yeast 2-hybrid
SHH,02838,NP_000184.1,ADCYAP1,02369,NP_001108.2,in vitro
VIPR2,03576,NP_003373.2,ADCYAP1,02369,NP_001108.2,in vitro;in vivo
CREBBP,02534,NP_004371.2,GATA1,02372,NP_002040.1,in vitro
ZFPM2,04737,NP_036214.2,GATA1,02372,NP_002040.1,in vitro;yeast 2-hybrid
MED1,05055,NP_004765.2,GATA1,02372,NP_002040.1,in vitro
HDAC5,09246,NP_001015053.1,GATA1,02372,NP_002040.1,in vitro;in vivo
ZBTB16,11762,NP_005997.2,GATA1,02372,NP_002040.1,in vitro;in vivo
ELMO1,12102,NP_055615.8,FGD1,02373,NP_004454.2,in vivo
GRP,08845,NP_002082.2,GRPR,02376,NP_005305.1,in vivo
HIVEP1,01925,NP_002105.2,APTX,05892,NP_778243.1,yeast 2-hybrid
NSF,03380,NP_006169.2,GRIA3,02378,NP_000819.3,yeast 2-hybrid
SDCBP,03741,NP_005616.2,GRIA3,02378,NP_000819.3,in vitro;yeast 2-hybrid
GRIA2,04726,NP_000817.2,GRIA3,02378,NP_000819.3,in vitro
PPM1G,09237,NP_817092.1,GRIA3,02378,NP_000819.3,in vitro;in vivo
CSF2RA,02381,NP_006131.2,CSF2RA,02381,NP_006131.2,in vitro;in vivo
F9,02385,NP_000124.1,F8,02384,NP_000123.1,in vitro
LMAN1,03338,NP_005561.1,F8,02384,NP_000123.1,in vivo
PHYH,03609,NP_006205.1,F8,02384,NP_000123.1,in vitro;in vivo;yeast 2-hybrid
PRSS2,03335,NP_002761.1,BPI,00174,NP_001716.2,in vitro
PLD2,03857,NP_002654.3,ALDOC,02386,NP_005156.1,in vitro
FGF23,05648,NP_065689.1,PHEX,02387,NP_000435.3,in vitro
HPRT1,02388,NP_000185.1,HPRT1,02388,NP_000185.1,in vitro;in vivo
FYB,04107,NP_001456.3,SH2D1A,02390,NP_002342.1,in vitro;in vivo
DOK1,04228,NP_001372.1,SH2D1A,02390,NP_002342.1,in vitro;in vivo
SLAMF1,04603,NP_003028.1,SH2D1A,02390,NP_002342.1,in vitro;in vivo;yeast 2-hybrid
ZYX,03592,NP_003452.1,ACTN1,00020,NP_001123476.1,in vitro;in vivo
HIVEP1,01925,NP_002105.2,ATXN1,03333,NP_000323.2,yeast 2-hybrid
CD84,05151,NP_003865.1,SH2D1A,02390,NP_002342.1,in vitro;in vivo;yeast 2-hybrid
SLAMF6,05920,NP_443163.1,SH2D1A,02390,NP_002342.1,in vitro;in vivo
SLAMF7,09432,NP_067004.3,SH2D1A,02390,NP_002342.1,yeast 2-hybrid
JAK3,02547,NP_000206.2,IL2RG,02391,NP_000197.1,in vivo
SHB,02635,NP_003019.2,IL2RG,02391,NP_000197.1,in vivo
IL15,02776,NP_000576.1,IL2RG,02391,NP_000197.1,in vivo
STAT1,02777,NP_009330.1,IL2RG,02391,NP_000197.1,in vivo
SHC1,02780,NP_001123512.1,IL2RG,02391,NP_000197.1,in vitro
PTPRJ,02955,NP_002834.3,IL2RG,02391,NP_000197.1,in vitro;in vivo
CANX,00252,NP_001737.1,SLC4A1,00175,NP_000333.1,in vitro;in vivo
IL15RA,03045,NP_002180.1,IL2RG,02391,NP_000197.1,in vitro;in vivo
STAT5A,03301,NP_003143.2,IL2RG,02391,NP_000197.1,in vivo
WWP1,03811,NP_008944.1,IL2RG,02391,NP_000197.1,in vitro
WWP2,03812,NP_008945.2,IL2RG,02391,NP_000197.1,in vitro
CISH,03897,NP_037456.5,IL3RA,02392,NP_002174.1,in vivo
MSN,02399,NP_002435.1,L1CAM,02394,NP_000416.1,in vivo
NCAN,02897,NP_004377.2,L1CAM,02394,NP_000416.1,in vivo
RPS6KA1,03402,NP_001006666.1,L1CAM,02394,NP_000416.1,in vitro;in vivo
NUMB,04767,NP_001005743.1,L1CAM,02394,NP_000416.1,in vivo
CNTN1,07189,NP_001834.2,L1CAM,02394,NP_000416.1,in vivo
CA4,00261,NP_000708.1,SLC4A1,00175,NP_000333.1,in vitro
RPS6KA2,03403,NP_001006933.1,L1CAM,02394,NP_000416.1,in vitro;in vivo
GOLGA5,06079,NP_005104.2,OCRL,02395,NP_000267.2,yeast 2-hybrid
FXR1,02892,NP_005078.2,FMR1,02398,NP_002015.1,in vitro;in vivo;yeast 2-hybrid
STAU1,03422,NP_059347.2,FMR1,02398,NP_002015.1,in vitro
NUFIP1,05073,NP_036477.2,FMR1,02398,NP_002015.1,in vitro;in vivo;yeast 2-hybrid
FXR2,05629,NP_004851.2,FMR1,02398,NP_002015.1,in vitro;in vivo
CYFIP1,05890,NP_055423.1,FMR1,02398,NP_002015.1,in vitro;in vivo;yeast 2-hybrid
CYFIP2,07556,NP_055191.2,FMR1,02398,NP_002015.1,in vitro
UBE2I,09045,NP_003336.1,FMR1,02398,NP_002015.1,yeast 2-hybrid
NUFIP2,11764,NP_065823.1,FMR1,02398,NP_002015.1,in vitro;in vivo;yeast 2-hybrid
EPB41,00558,AAD42222.1,SLC4A1,00175,NP_000333.1,in vitro
PRKCQ,02710,NP_006248.1,MSN,02399,NP_002435.1,in vitro
SELPLG,02845,Q14242,MSN,02399,NP_002435.1,in vitro;in vivo
PLEC1,03180,NP_958782.1,MSN,02399,NP_002435.1,in vivo
NCF4,03289,NP_038202.2,MSN,02399,NP_002435.1,in vitro;in vivo
ROCK1,03414,NP_005397.1,MSN,02399,NP_002435.1,in vitro
PPM1B,04796,NP_002697.1,MSN,02399,NP_002435.1,in vitro
SLC9A3R1,05406,NP_004243.1,MSN,02399,NP_002435.1,in vitro;in vivo;yeast 2-hybrid
TSC1,05594,NP_000359.1,MSN,02399,NP_002435.1,in vivo;yeast 2-hybrid
SPN,06770,NP_003114.1,MSN,02399,NP_002435.1,in vitro;in vivo
SELL,07034,CAB55488.1,MSN,02399,NP_002435.1,in vitro
LYN,01301,NP_002341.1,SLC4A1,00175,NP_000333.1,in vitro;in vivo
PPM1A,16199,NP_808821.2,MSN,02399,NP_002435.1,in vitro
RRAS2,02518,NP_036382.2,ARAF,02405,NP_001645.1,yeast 2-hybrid
MAP2K2,03164,NP_109587.1,ARAF,02405,NP_001645.1,in vitro;yeast 2-hybrid
EFEMP1,03331,NP_004096.2,ARAF,02405,NP_001645.1,yeast 2-hybrid
ASS1,04590,NP_446464.1,ARAF,02405,NP_001645.1,yeast 2-hybrid
TIMM44,05450,NP_006342.2,ARAF,02405,NP_001645.1,in vitro;yeast 2-hybrid
YWHAG,05639,NP_036611.2,ARAF,02405,NP_001645.1,in vivo
COPS3,07262,NP_003644.2,ARAF,02405,NP_001645.1,yeast 2-hybrid
PRPF6,10729,NP_036601.2,ARAF,02405,NP_001645.1,in vitro;yeast 2-hybrid
RHAG,01582,NP_000315.2,SLC4A1,00175,NP_000333.1,in vivo
NUDT14,14847,NP_803877.2,ARAF,02405,NP_001645.1,yeast 2-hybrid
TH1L,16096,NP_945327.1,ARAF,02405,NP_001645.1,in vitro;in vivo;yeast 2-hybrid
PBK,17822,NP_060962.2,ARAF,02405,NP_001645.1,in vitro
MCF2,02406,NP_001093325.1,MCF2,02406,NP_001093325.1,in vitro;in vivo
GNA13,05100,NP_006563.2,MCF2,02406,NP_001093325.1,in vitro;in vivo
TNK2,06104,NP_001010938.1,MCF2,02406,NP_001093325.1,in vitro;in vivo
MAPK14,02619,NP_001306.1,ELK1,02407,NP_005220.2,in vitro
SRF,02788,NP_003122.1,ELK1,02407,NP_005220.2,in vitro
GRB10,03312,NP_005302.3,ELK1,02407,NP_005220.2,in vivo
MAPK3,03479,NP_002737.2,ELK1,02407,NP_005220.2,in vitro;in vivo
ANK1,01693,NP_001135918.1,SLC4A1,00175,NP_000333.1,in vitro
EP300,04078,NP_001420.2,ELK1,02407,NP_005220.2,in vitro;in vivo
MAPK9,04206,NP_002743.3,ELK1,02407,NP_005220.2,in vitro;in vivo
STK16,05281,NP_003682.2,ELK1,02407,NP_005220.2,in vitro;in vivo
TAOK2,18147,NP_057235.2,ELK1,02407,NP_005220.2,in vitro
YWHAZ,03183,NP_003397.1,CDK16,02409,NP_148978.2,yeast 2-hybrid
PRKACA,03382,NP_002721.1,CDK16,02409,NP_148978.2,in vitro;in vivo
CDK5R1,04586,NP_003876.1,CDK16,02409,NP_148978.2,in vitro;in vivo
YWHAE,05457,NP_006752.1,CDK16,02409,NP_148978.2,in vivo
YWHAG,05639,NP_036611.2,CDK16,02409,NP_148978.2,in vitro;in vivo
CA2,02023,NP_000058.1,SLC4A1,00175,NP_000333.1,in vitro
PIGH,02540,NP_004560.1,PIGA,02410,NP_002632.1,in vitro;in vivo
PIGQ,09307,NP_683721.1,PIGA,02410,NP_002632.1,in vitro
DPM2,16028,NP_003854.1,PIGA,02410,NP_002632.1,in vitro
HIF1A,04517,NP_001521.1,PGK1,02412,NP_000282.1,in vivo
HSPH1,09990,NP_006635.2,PGK1,02412,NP_000282.1,in vitro
PRPSAP1,03151,NP_002757.2,PRPS1,02413,NP_002755.1,in vitro;in vivo
PRPSAP1,03151,NP_002757.2,PRPS2,02414,NP_001034180.1,in vitro;in vivo
PHKA1,02415,NP_002628.2,PHKA1,02415,NP_002628.2,in vitro
PRKACA,03382,NP_002721.1,PHKA1,02415,NP_002628.2,in vitro
SYK,02514,NP_003168.2,SLC4A1,00175,NP_000333.1,in vitro;in vivo
CDK2AP1,03726,NP_004633.1,POLA1,02416,NP_058633.2,in vitro;in vivo
RBMS1,03814,NP_058521.1,POLA1,02416,NP_058633.2,in vitro;in vivo;yeast 2-hybrid
POLE,07177,NP_006222.2,POLA1,02416,NP_058633.2,in vitro;in vivo
XRCC5,08935,NP_066964.1,POLA1,02416,NP_058633.2,in vivo
CDC45L,09145,NP_003495.1,POLA1,02416,NP_058633.2,in vitro
HELB,09979,NP_387467.2,POLA1,02416,NP_058633.2,in vitro;in vivo
PDK1,03954,NP_002601.1,PDHA1,02420,NP_000275.1,in vitro
PDK2,03955,NP_002602.2,PDHA1,02420,NP_000275.1,in vitro
SLC4A1AP,04038,NP_060628.2,SLC4A1,00175,NP_000333.1,in vitro;in vivo;yeast 2-hybrid
PDK3,03956,NP_001135858.1,PDHA1,02420,NP_000275.1,in vitro
PDK4,03957,NP_002603.1,PDHA1,02420,NP_000275.1,in vitro
PDP1,16185,NP_060914.2,PDHA1,02420,NP_000275.1,in vitro
ZMYM2,03745,NP_003444.1,UBE2A,02422,NP_003327.2,in vitro;in vivo;yeast 2-hybrid
RAD18,09242,NP_064550.3,UBE2A,02422,NP_003327.2,in vivo;yeast 2-hybrid
ARL3,05260,NP_004302.1,RP2,02424,NP_008846.2,in vitro;in vivo
PLD2,03857,NP_002654.3,ACTN1,00020,NP_001123476.1,in vitro;in vivo
PLDN,16055,NP_036520.1,SLC4A1,00175,NP_000333.1,in vitro
GNAQ,02998,NP_002063.2,HTR2C,02429,NP_000859.1,in vivo
APBA1,03879,NP_001154.2,HTR2C,02429,NP_000859.1,in vivo
DLG4,04199,NP_001356.1,HTR2C,02429,NP_000859.1,in vivo
MPDZ,09155,NP_003820.2,HTR2C,02429,NP_000859.1,in vitro;in vivo;yeast 2-hybrid
LIN7C,17279,NP_060832.1,HTR2C,02429,NP_000859.1,in vivo
HK2,03080,NP_000180.2,UBQLN4,05670,NP_064516.2,yeast 2-hybrid
UBE2D3,04269,NP_871622.1,SAT1,02431,NP_002961.1,in vitro
PAX6,06167,NP_001595.2,SOX3,02432,NP_005625.2,in vitro
SYN1,02433,NP_008881.2,SYN1,02433,NP_008881.2,in vitro
AMPH,02687,NP_001626.1,SYN1,02433,NP_008881.2,in vitro;in vivo
SYN2,02857,NP_598328.1,SYN1,02433,NP_008881.2,in vitro;in vivo;yeast 2-hybrid
MMP1,00384,NP_002412.1,BSG,00176,NP_001719.2,in vitro;in vivo
BIN1,03150,NP_647593.1,SYN1,02433,NP_008881.2,in vitro;in vivo
PRKACA,03382,NP_002721.1,SYN1,02433,NP_008881.2,in vitro
CAMK2G,03672,NP_751911.1,SYN1,02433,NP_008881.2,in vitro
SYN3,04083,NP_003481.3,SYN1,02433,NP_008881.2,in vitro;in vivo;yeast 2-hybrid
CAMK1,05412,NP_003647.1,SYN1,02433,NP_008881.2,in vitro
PAK2,05428,NP_002568.2,SYN1,02433,NP_008881.2,in vitro;in vivo
NOS1AP,12023,NP_055512.1,SYN1,02433,NP_008881.2,in vivo
SIAH1,03736,NP_001006611.1,SYP,02435,NP_003170.1,in vitro;in vivo;yeast 2-hybrid
SIAH2,03737,NP_005058.3,SYP,02435,NP_003170.1,in vitro;in vivo
AP1G1,04637,NP_001025178.1,SYP,02435,NP_003170.1,yeast 2-hybrid
PPIA,00457,NP_066953.1,BSG,00176,NP_001719.2,in vivo;yeast 2-hybrid
TBP,02511,NP_003185.1,TAF1,02436,NP_004597.2,in vitro
SUB1,02737,NP_006704.3,TAF1,02436,NP_004597.2,in vitro
TAF1,02436,NP_004597.2,GTF2A1,02748,NP_056943.1,in vitro;in vivo
UBTF,02814,NP_055048.1,TAF1,02436,NP_004597.2,in vitro;in vivo;yeast 2-hybrid
HIST3H3,04156,NP_003484.1,TAF1,02436,NP_004597.2,in vitro;in vivo
TAF2,07060,NP_003175.1,TAF1,02436,NP_004597.2,in vitro;in vivo
TAF7,07196,NP_005633.2,TAF1,02436,NP_004597.2,in vitro;in vivo;yeast 2-hybrid
TAF15,09031,NP_631961.1,TAF1,02436,NP_004597.2,in vivo
EDF1,09235,NP_003783.1,TAF1,02436,NP_004597.2,in vitro
TAF4,11797,NP_003176.2,TAF1,02436,NP_004597.2,in vitro;in vivo
SLC16A1,02816,NP_003042.3,BSG,00176,NP_001719.2,in vitro;in vivo
TAF6,11807,NP_005632.1,TAF1,02436,NP_004597.2,in vitro;in vivo
TAF5,11876,NP_008882.2,TAF1,02436,NP_004597.2,in vitro;in vivo
TAF10,15972,NP_006275.1,TAF1,02436,NP_004597.2,in vitro;in vivo
TAF11,15980,NP_005634.1,TAF1,02436,NP_004597.2,in vitro;in vivo
TAF12,15981,NP_005635.1,TAF1,02436,NP_004597.2,in vitro;in vivo
TAF9,15983,NP_003178.1,TAF1,02436,NP_004597.2,in vitro;in vivo
ASF1A,16459,NP_054753.1,TAF1,02436,NP_004597.2,in vitro;yeast 2-hybrid
ASF1B,16460,NP_060624.1,TAF1,02436,NP_004597.2,in vitro;in vivo;yeast 2-hybrid
TAF8,18167,NP_612639.2,TAF1,02436,NP_004597.2,in vitro;in vivo
SLC16A3,04854,NP_004198.1,BSG,00176,NP_001719.2,in vivo
AR,02437,NP_000035.2,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
CREBBP,02534,NP_004371.2,AR,02437,NP_000035.2,in vitro;in vivo
AES,02556,NP_945320.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
NCOR1,02911,NP_006302.2,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
SMAD4,02995,NP_005350.1,AR,02437,NP_000035.2,in vitro;in vivo
CAV1,03028,NP_001744.2,AR,02437,NP_000035.2,in vitro;in vivo
TMF1,03081,NP_009045.2,AR,02437,NP_000035.2,in vitro;in vivo
RAN,03109,NP_006316.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
HDAC1,03143,NP_004955.2,AR,02437,NP_000035.2,in vitro;in vivo
TSG101,03229,NP_006283.1,AR,02437,NP_000035.2,in vitro;yeast 2-hybrid
GNAI3,00765,NP_006487.1,CD48,00177,NP_001769.2,in vivo
NR2C2,03253,NP_003289.2,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
BAG1,03292,NP_004314.4,AR,02437,NP_000035.2,in vitro;in vivo
NR2C1,03318,NP_003288.2,AR,02437,NP_000035.2,in vitro
SUMO1,03554,NP_003343.1,AR,02437,NP_000035.2,in vitro;in vivo
NCOA3,03570,NP_858045.1,AR,02437,NP_000035.2,in vitro;yeast 2-hybrid
NCOA4,03584,NP_001138732.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
RAC3,03629,NP_005043.1,AR,02437,NP_000035.2,in vitro;in vivo
DAP3,03646,NP_004623.1,AR,02437,NP_000035.2,in vitro;yeast 2-hybrid
PA2G4,03685,NP_006182.2,AR,02437,NP_000035.2,in vitro;in vivo
LCK,01080,NP_005347.3,CD48,00177,NP_001769.2,in vitro
FOXA1,03801,NP_004487.2,AR,02437,NP_000035.2,in vitro;in vivo
TGFB1I1,03831,NP_001035919.1,AR,02437,NP_000035.2,in vivo
FHL2,04026,NP_001441.4,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
NCOA1,04070,NP_003734.3,AR,02437,NP_000035.2,in vitro;in vivo
RNF4,04167,NP_002929.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
SMAD3,04380,NP_005893.1,AR,02437,NP_000035.2,in vitro;in vivo
TRIM24,04556,NP_056989.2,AR,02437,NP_000035.2,in vitro
RANBP9,04835,NP_005484.2,AR,02437,NP_000035.2,in vitro;yeast 2-hybrid
CD2,01750,AAA51946.1,CD48,00177,NP_001769.2,in vitro;in vivo
SVIL,04992,NP_068506.2,AR,02437,NP_000035.2,in vitro;yeast 2-hybrid
MED1,05055,NP_004765.2,AR,02437,NP_000035.2,in vitro;in vivo
HIPK3,05111,NP_005725.3,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
NR0B2,05219,NP_068804.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
MYBBP1A,05349,NP_001099008.1,AR,02437,NP_000035.2,in vitro;yeast 2-hybrid
CDC37,05456,NP_008996.1,AR,02437,NP_000035.2,in vitro;in vivo
RNF14,05745,NP_004281.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
PAK6,06426,NP_064553.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
CD244,16121,NP_057466.1,CD48,00177,NP_001769.2,in vitro;in vivo
PIAS4,06910,NP_056981.2,AR,02437,NP_000035.2,in vitro
PIAS2,06944,NP_004662.2,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
MYST2,07135,NP_008998.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
RCHY1,07607,NP_056251.2,AR,02437,NP_000035.2,in vitro;yeast 2-hybrid
NR0B1,08362,NP_000466.2,AR,02437,NP_000035.2,in vitro;in vivo
SRY,08364,NP_003131.1,AR,02437,NP_000035.2,in vivo
PNRC1,08412,NP_006804.1,AR,02437,NP_000035.2,in vivo
ETV5,09035,NP_004445.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
UBE2I,09045,NP_003336.1,AR,02437,NP_000035.2,in vitro;yeast 2-hybrid
NCOA2,09066,NP_006531.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
CDK5R1,04586,NP_003876.1,ACTN1,00020,NP_001123476.1,in vitro;in vivo;yeast 2-hybrid
MS4A1,00204,NP_690605.1,CD40,00178,NP_001241.1,in vivo
NSD1,09455,NP_071900.2,AR,02437,NP_000035.2,in vitro;in vivo
RAD54L2,10018,NP_055921.2,AR,02437,NP_000035.2,in vitro;in vivo
PELP1,10144,NP_055204.2,AR,02437,NP_000035.2,in vitro
PRPF6,10729,NP_036601.2,AR,02437,NP_000035.2,in vivo
NISCH,11391,NP_009115.2,AR,02437,NP_000035.2,in vitro;in vivo
SART3,11532,NP_055521.1,AR,02437,NP_000035.2,in vitro;in vivo
ZMIZ1,12115,NP_065071.1,AR,02437,NP_000035.2,in vitro;in vivo
EFCAB6,13391,NP_073622.2,AR,02437,NP_000035.2,in vitro;in vivo
CDK9,16016,NP_001252.1,AR,02437,NP_000035.2,in vitro;in vivo
XRCC6,01071,NP_001460.1,CD40,00178,NP_001241.1,in vitro
PIAS1,16029,NP_057250.1,AR,02437,NP_000035.2,in vitro;in vivo
PNRC2,17871,NP_060231.1,AR,02437,NP_000035.2,in vitro;in vivo;yeast 2-hybrid
E2F3,02693,NP_001940.1,TFE3,02439,NP_006512.2,in vitro;in vivo;yeast 2-hybrid
TFEB,02847,NP_009093.1,TFE3,02439,NP_006512.2,in vivo
SMAD4,02995,NP_005350.1,TFE3,02439,NP_006512.2,in vitro
SMAD3,04380,NP_005893.1,TFE3,02439,NP_006512.2,in vitro
TFEC,05294,NP_036384.1,TFE3,02439,NP_006512.2,in vitro
HSPH1,09990,NP_006635.2,UBA1,02440,NP_003325.2,in vitro
CD40LG,02311,NP_000065.1,CD40,00178,NP_001241.1,in vitro;in vivo
TRA2B,04097,NP_004584.1,RBMY1A1,02450,NP_005049.1,in vitro;in vivo;yeast 2-hybrid
SFRS3,04530,NP_003008.1,RBMY1A1,02450,NP_005049.1,in vitro;yeast 2-hybrid
SFRS9,09053,NP_003760.1,RBMY1A1,02450,NP_005049.1,in vitro;yeast 2-hybrid
KHDRBS3,10007,NP_006549.1,RBMY1A1,02450,NP_005049.1,yeast 2-hybrid
TLE1,02557,NP_005068.2,UTY,02451,NP_009056.3,in vitro;yeast 2-hybrid
TLE2,03025,NP_003251.2,UTY,02451,NP_009056.3,in vitro;yeast 2-hybrid
UBE3A,03375,NP_000453.2,BPY2,02454,NP_004669.2,yeast 2-hybrid
MAP1S,10461,NP_060644.4,BPY2,02454,NP_004669.2,in vitro;yeast 2-hybrid
EIF5,03417,NP_001960.2,EIF1AY,02455,NP_004672.2,in vitro
TRAF1,03418,NP_005649.1,CD40,00178,NP_001241.1,in vitro;in vivo
COX5A,04799,NP_004246.2,MT-COI,02469,AAK17573.1,in vivo
CCNG1,03345,NP_004051.1,MT-CO2,02470,NP_776053.1,in vivo
PRKACA,03382,NP_002721.1,CACNB2,02473,NP_963890.2,in vitro
REM1,15237,NP_054731.2,CACNB2,02473,NP_963890.2,in vivo
EFNA4,03224,NP_872631.1,EPHA5,02474,NP_004430.4,in vitro;in vivo
EFNA3,03225,NP_004943.1,EPHA5,02474,NP_004430.4,in vivo
EFNA5,03324,NP_001953.1,EPHA5,02474,NP_004430.4,in vivo
TRAF2,03538,NP_066961.2,CD40,00178,NP_001241.1,in vitro
EFNA2,04132,NP_001396.2,EPHA5,02474,NP_004430.4,in vivo
PRKACA,03382,NP_002721.1,CIITA,02475,NP_000237.2,in vitro;in vivo
RFX5,03517,NP_000440.1,CIITA,02475,NP_000237.2,in vitro
XPO1,03975,NP_003391.1,CIITA,02475,NP_000237.2,in vitro;in vivo
NCOA1,04070,NP_003734.3,CIITA,02475,NP_000237.2,in vitro;in vivo
RFXANK,04435,NP_003712.1,CIITA,02475,NP_000237.2,in vitro;in vivo
KAT2B,06780,NP_003875.3,CIITA,02475,NP_000237.2,in vitro;in vivo
TAF6,11807,NP_005632.1,CIITA,02475,NP_000237.2,in vitro
RFX3,03215,NP_602304.1,RFX1,02476,NP_002909.4,in vitro
NFIB,09008,NP_005587.2,RFX1,02476,NP_002909.4,in vitro;in vivo
TRAF3,03539,NP_663777.1,CD40,00178,NP_001241.1,in vitro;in vivo;yeast 2-hybrid
NFIC,09009,P08651,RFX1,02476,NP_002909.4,in vitro;in vivo
SORBS1,05587,NP_001030126.1,INSM1,02480,NP_002187.1,in vitro;in vivo;yeast 2-hybrid
EFNB2,02754,NP_004084.1,EPHB4,02481,NP_004435.3,in vivo
GRIN1,15926,NP_015566.1,EPHB4,02481,NP_004435.3,in vivo
TRAF6,03833,NP_665802.1,CD40,00178,NP_001241.1,in vitro;in vivo
E2F2,02692,NP_004082.1,YY1,02482,NP_003394.1,in vitro;in vivo;yeast 2-hybrid
E2F3,02693,NP_001940.1,YY1,02482,NP_003394.1,in vitro;in vivo;yeast 2-hybrid
GTF2I,03399,NP_127492.1,YY1,02482,NP_003394.1,in vitro;in vivo
EP300,04078,NP_001420.2,YY1,02482,NP_003394.1,in vivo
SAP30,04540,NP_003855.1,YY1,02482,NP_003394.1,in vitro;in vivo;yeast 2-hybrid
HDAC2,05521,NP_001518.2,YY1,02482,NP_003394.1,in vitro;in vivo
HDAC3,08950,NP_003874.2,YY1,02482,NP_003394.1,in vitro
ZRANB2,09185,NP_976225.1,YY1,02482,NP_003394.1,in vivo
EED,09343,NP_003788.2,YY1,02482,NP_003394.1,in vitro;in vivo
YAF2,09606,NP_005739.2,YY1,02482,NP_003394.1,in vitro;yeast 2-hybrid
TRAF5,03834,NP_004610.1,CD40,00178,NP_001241.1,in vitro;yeast 2-hybrid
RYBP,09607,NP_036366.3,YY1,02482,NP_003394.1,in vitro;in vivo
ATF6,16118,NP_031374.2,YY1,02482,NP_003394.1,in vivo
SS18,02559,AAK21314.1,SMARCA2,02483,NP_003061.3,in vitro;in vivo
ACTL6A,05389,NP_004292.1,SMARCA2,02483,NP_003061.3,in vivo
ARID1B,10660,NP_059989.1,SMARCA2,02483,NP_003061.3,in vitro;in vivo
ACTL6B,12419,NP_057272.1,SMARCA2,02483,NP_003061.3,in vitro;in vivo
PLD2,03857,NP_002654.3,OPRM1,02484,NP_001138751.1,in vitro;in vivo
SMC3,05829,NP_005436.1,MXI1,02486,NP_569157.2,in vitro
SAP30,04540,NP_003855.1,MXD1,02487,NP_002348.1,in vitro;in vivo
HDAC2,05521,NP_001518.2,MXD1,02487,NP_002348.1,in vivo
RIPK2,04585,NP_003812.1,CD40,00178,NP_001241.1,in vivo
SMC3,05829,NP_005436.1,MXD1,02487,NP_002348.1,in vitro;in vivo;yeast 2-hybrid
PRAM1,05926,NP_115528.3,MXD1,02487,NP_002348.1,in vivo
SIN3A,09690,NP_056292.1,MXD1,02487,NP_002348.1,in vivo;yeast 2-hybrid
SIN3B,09691,NP_056075.1,MXD1,02487,NP_002348.1,in vitro;in vivo
LBR,02488,NP_002287.2,LBR,02488,NP_002287.2,in vitro;in vivo;yeast 2-hybrid
CBX3,05130,NP_057671.2,LBR,02488,NP_002287.2,in vitro;in vivo;yeast 2-hybrid
CBX5,05131,NP_036249.1,LBR,02488,NP_002287.2,in vitro;in vivo;yeast 2-hybrid
YWHAG,05639,NP_036611.2,LBR,02488,NP_002287.2,in vivo
AKAP8L,10641,NP_055186.2,LBR,02488,NP_002287.2,in vivo
